"","Canopy Class","Canopy Height","Max Height","Bare","Wrack/Thatch","Treatment","Material","Soil Depth","Date","TransectCode","QuadratID","Scientific Name","Common Name","Code","Status","Grass/Forb","Annual/Perennial","Presence","HeightClass"
"4414","L","1",NA,"C","R","Rake","Hybrid","2",2017-06-21,"CC2","T1","Ambrosia psilostachya","western ragweed","AMPS","Native","Forb","P","R","1"
"4415","L","1",NA,"C","R","Rake","Hybrid","2",2017-06-21,"CC2","T1","Amsinckia intermedia","fiddleneck","AMIN","Native","Forb","A","U","1"
"4457","L","1",NA,"C","R","Rake","Hybrid","2",2017-06-21,"CC2","T1","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"4469","L","1",NA,"C","R","Rake","Hybrid","2",2017-06-21,"CC2","T1","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"4520","L","1",NA,"C","R","Rake","Hybrid","2",2017-06-21,"CC2","T2","Amsinckia intermedia","fiddleneck","AMIN","Native","Forb","A","R","1"
"4569","L","1",NA,"C","R","Rake","Hybrid","2",2017-06-21,"CC2","T2","Grasses",NA,"GRASS",NA,"Grass","A/P","R","1"
"4574","L","1",NA,"C","R","Rake","Hybrid","2",2017-06-21,"CC2","T2","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"4625","L","1",NA,"C","R","Rake","Hybrid","2",2017-06-21,"CC2","U","Amsinckia intermedia","fiddleneck","AMIN","Native","Forb","A","R","1"
"4631","L","1",NA,"C","R","Rake","Hybrid","2",2017-06-21,"CC2","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","1"
"4665","L","1",NA,"C","R","Rake","Hybrid","2",2017-06-21,"CC2","U","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","R","1"
"4674","L","1",NA,"C","R","Rake","Hybrid","2",2017-06-21,"CC2","U","Grasses",NA,"GRASS",NA,"Grass","A/P","R","1"
"4736","M","2",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","T1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","3"
"4737","M","2",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","T1","Atriplex semibaccata","Australian saltbush","ATSE","Weed","Forb","P","R","1"
"4772","M","2",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","T1","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","U","1"
"4784","M","2",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","T1","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"4795","M","2",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","T1","Limonium californicum","California sea lavender","LICA","Native","Forb","P","R","1"
"4841","M","3",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","T2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","4"
"4877","M","3",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","T2","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","2"
"4889","M","3",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","T2","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","2"
"4939","M","1",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","U","Ambrosia psilostachya","western ragweed","AMPS","Native","Forb","P","R","1"
"4940","M","1",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","U","Amsinckia intermedia","fiddleneck","AMIN","Native","Forb","A","C","1"
"4946","M","1",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","U","1"
"4982","M","1",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","U","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","U","1"
"4990","M","1",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","U","Grindelia stricta","salt marsh gumplant","GRST","Native","Forb","P","R","1"
"4994","M","1",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","U","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"5040","M","1",NA,"C","R","Straw","Compost","3",2017-06-21,"CC3","U","Tetragonia tetragonioides","New Zealand spinach","TETE","Weed","Forb","A","R","1"
"5045","M","1",NA,"C","R","Rake","Organic","3",2017-06-21,"CC4","T1","Amsinckia intermedia","fiddleneck","AMIN","Native","Forb","A","R","1"
"5060","M","1",NA,"C","R","Rake","Organic","3",2017-06-21,"CC4","T1","Bromus hordeaceus","soft brome","BRHO","Weed","Grass","A","R","1"
"5067","M","1",NA,"C","R","Rake","Organic","3",2017-06-21,"CC4","T1","Centromadia pungens","common spikeweed","CEPU","Native","Forb","A","U","1"
"5081","M","1",NA,"C","R","Rake","Organic","3",2017-06-21,"CC4","T1","Eriogonum fasciculatum","California buckwheat","ERFA","Native","Forb","P","R","1"
"5085","M","1",NA,"C","R","Rake","Organic","3",2017-06-21,"CC4","T1","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","R","1"
"5087","M","1",NA,"C","R","Rake","Organic","3",2017-06-21,"CC4","T1","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"5095","M","1",NA,"C","R","Rake","Organic","3",2017-06-21,"CC4","T1","Grindelia stricta","salt marsh gumplant","GRST","Native","Forb","P","R","1"
"5099","M","1",NA,"C","R","Rake","Organic","3",2017-06-21,"CC4","T1","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"5119","M","1",NA,"C","R","Rake","Organic","3",2017-06-21,"CC4","T1","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","C","1"
"5157","M","1",NA,"C","R","Rake","Organic","3",2017-06-21,"CC4","T2","Atriplex semibaccata","Australian saltbush","ATSE","Weed","Forb","P","R","1"
"5204","M","1",NA,"C","R","Rake","Organic","3",2017-06-21,"CC4","T2","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"5224","M","1",NA,"C","R","Rake","Organic","3",2017-06-21,"CC4","T2","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","C","1"
"5255","M","1",NA,"C","R","Rake","Organic","3",2017-06-21,"CC4","U","Amsinckia intermedia","fiddleneck","AMIN","Native","Forb","A","R","1"
"5261","M","1",NA,"C","R","Rake","Organic","3",2017-06-21,"CC4","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","R","1"
"5297","M","1",NA,"C","R","Rake","Organic","3",2017-06-21,"CC4","U","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"5329","M","1",NA,"C","R","Rake","Organic","3",2017-06-21,"CC4","U","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","C","1"
"5359","M","4",NA,"C","R","Straw","Hybrid","3",2017-06-21,"CC5","T1","Ambrosia psilostachya","western ragweed","AMPS","Native","Forb","P","R","1"
"5360","M","4",NA,"C","R","Straw","Hybrid","3",2017-06-21,"CC5","T1","Amsinckia intermedia","fiddleneck","AMIN","Native","Forb","A","R","2"
"5366","M","4",NA,"C","R","Straw","Hybrid","3",2017-06-21,"CC5","T1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","3"
"5400","M","4",NA,"C","R","Straw","Hybrid","3",2017-06-21,"CC5","T1","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","R","1"
"5402","M","4",NA,"C","R","Straw","Hybrid","3",2017-06-21,"CC5","T1","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","C","1"
"5414","M","4",NA,"C","R","Straw","Hybrid","3",2017-06-21,"CC5","T1","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"5434","M","4",NA,"C","R","Straw","Hybrid","3",2017-06-21,"CC5","T1","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","R","1"
"5471","M","2",NA,"C","R","Straw","Hybrid","3",2017-06-21,"CC5","T2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","3"
"5576","M","2",NA,"C","R","Straw","Hybrid","3",2017-06-21,"CC5","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","2"
"5612","M","2",NA,"C","R","Straw","Hybrid","3",2017-06-21,"CC5","U","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"5624","M","2",NA,"C","R","Straw","Hybrid","3",2017-06-21,"CC5","U","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"5644","M","2",NA,"C","R","Straw","Hybrid","3",2017-06-21,"CC5","U","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","U","1"
"5675","M","2",NA,"C","R","Rake","Compost","2",2017-06-21,"CC6","T1","Amsinckia intermedia","fiddleneck","AMIN","Native","Forb","A","R","1"
"5681","M","2",NA,"C","R","Rake","Compost","2",2017-06-21,"CC6","T1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","2"
"5717","M","2",NA,"C","R","Rake","Compost","2",2017-06-21,"CC6","T1","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","U","1"
"5729","M","2",NA,"C","R","Rake","Compost","2",2017-06-21,"CC6","T1","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"5737","M","2",NA,"C","R","Rake","Compost","2",2017-06-21,"CC6","T1","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"5749","M","2",NA,"C","R","Rake","Compost","2",2017-06-21,"CC6","T1","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","R","1"
"5756","M","2",NA,"C","R","Rake","Compost","2",2017-06-21,"CC6","T1","Polypogon sp.","rabbitfoot grass","POLYsp","Weed","Grass","A/P","R","1"
"5775","M","2",NA,"C","R","Rake","Compost","2",2017-06-21,"CC6","T1","Tetragonia tetragonioides","New Zealand spinach","TETE","Weed","Forb","A","U","2"
"5786","M","3",NA,"C","R","Rake","Compost","2",2017-06-21,"CC6","T2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","4"
"5787","M","3",NA,"C","R","Rake","Compost","2",2017-06-21,"CC6","T2","Atriplex semibaccata","Australian saltbush","ATSE","Weed","Forb","P","U","1"
"5822","M","3",NA,"C","R","Rake","Compost","2",2017-06-21,"CC6","T2","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","U","1"
"5834","M","3",NA,"C","R","Rake","Compost","2",2017-06-21,"CC6","T2","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"5842","M","3",NA,"C","R","Rake","Compost","2",2017-06-21,"CC6","T2","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"5930","L","1",NA,"C","R","Rake","Compost","2",2017-06-21,"CC6","U","Frankenia salina","alkali heath","FRSA","Native","Forb","P","R","1"
"5935","L","1",NA,"C","R","Rake","Compost","2",2017-06-21,"CC6","U","Grindelia stricta","salt marsh gumplant","GRST","Native","Forb","P","R","1"
"5939","L","1",NA,"C","R","Rake","Compost","2",2017-06-21,"CC6","U","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"5947","L","1",NA,"C","R","Rake","Compost","2",2017-06-21,"CC6","U","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"5959","L","1",NA,"C","R","Rake","Compost","2",2017-06-21,"CC6","U","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","U","1"
"5985","L","1",NA,"C","R","Rake","Compost","2",2017-06-21,"CC6","U","Tetragonia tetragonioides","New Zealand spinach","TETE","Weed","Forb","A","U","1"
"5996","L","1",NA,"C","R","Straw","Organic","2",2017-06-21,"CC7","T1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","U","1"
"5997","L","1",NA,"C","R","Straw","Organic","2",2017-06-21,"CC7","T1","Atriplex semibaccata","Australian saltbush","ATSE","Weed","Forb","P","U","1"
"6030","L","1",NA,"C","R","Straw","Organic","2",2017-06-21,"CC7","T1","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","R","1"
"6032","L","1",NA,"C","R","Straw","Organic","2",2017-06-21,"CC7","T1","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"6035","L","1",NA,"C","R","Straw","Organic","2",2017-06-21,"CC7","T1","Frankenia salina","alkali heath","FRSA","Native","Forb","P","R","1"
"6039","L","1",NA,"C","R","Straw","Organic","2",2017-06-21,"CC7","T1","Grasses",NA,"GRASS",NA,"Grass","A/P","R","1"
"6044","L","1",NA,"C","R","Straw","Organic","2",2017-06-21,"CC7","T1","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"6077","L","1",NA,"C","R","Straw","Organic","2",2017-06-21,"CC7","T1","Salicornia pacifica","perennial pickleweed","SAPA","Native","Forb","P","R","1"
"6090","L","1",NA,"C","R","Straw","Organic","2",2017-06-21,"CC7","T1","Tetragonia tetragonioides","New Zealand spinach","TETE","Weed","Forb","A","C","1"
"6094","L","1",NA,"C","R","Straw","Organic","2",2017-06-21,"CC7","T2","Ambrosia psilostachya","western ragweed","AMPS","Native","Forb","P","R","1"
"6101","L","1",NA,"C","R","Straw","Organic","2",2017-06-21,"CC7","T2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","U","1"
"6149","L","1",NA,"C","R","Straw","Organic","2",2017-06-21,"CC7","T2","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"6206","L","2",NA,"C","R","Straw","Organic","2",2017-06-21,"CC7","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","2"
"6240","L","2",NA,"C","R","Straw","Organic","2",2017-06-21,"CC7","U","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","R","1"
"6262","L","2",NA,"C","R","Straw","Organic","2",2017-06-21,"CC7","U","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"6274","L","2",NA,"C","R","Straw","Organic","2",2017-06-21,"CC7","U","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","R","1"
"6311","M","4",NA,"C","R","Rake","Compost","3",2017-06-22,"AS01","T1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","3"
"6416","M","2",NA,"C","R","Rake","Compost","3",2017-06-22,"AS01","T2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","2"
"6450","M","2",NA,"C","R","Rake","Compost","3",2017-06-22,"AS01","T2","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","R","1"
"6452","M","2",NA,"C","R","Rake","Compost","3",2017-06-22,"AS01","T2","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"6464","M","2",NA,"C","R","Rake","Compost","3",2017-06-22,"AS01","T2","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"6472","M","2",NA,"C","R","Rake","Compost","3",2017-06-22,"AS01","T2","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"6484","M","2",NA,"C","R","Rake","Compost","3",2017-06-22,"AS01","T2","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","U","1"
"6521","L","1",NA,"C","R","Rake","Compost","3",2017-06-22,"AS01","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","R","1"
"6555","L","1",NA,"C","R","Rake","Compost","3",2017-06-22,"AS01","U","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","R","1"
"6557","L","1",NA,"C","R","Rake","Compost","3",2017-06-22,"AS01","U","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"6565","L","1",NA,"C","R","Rake","Compost","3",2017-06-22,"AS01","U","Grindelia stricta","salt marsh gumplant","GRST","Native","Forb","P","R","1"
"6569","L","1",NA,"C","R","Rake","Compost","3",2017-06-22,"AS01","U","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"6577","L","1",NA,"C","R","Rake","Compost","3",2017-06-22,"AS01","U","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"6589","L","1",NA,"C","R","Rake","Compost","3",2017-06-22,"AS01","U","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","U","1"
"6615","L","1",NA,"C","R","Rake","Compost","3",2017-06-22,"AS01","U","Tetragonia tetragonioides","New Zealand spinach","TETE","Weed","Forb","A","C","1"
"6619","M","1",NA,"C","R","Straw","Hybrid","2",2017-06-22,"AS02","T1","Ambrosia psilostachya","western ragweed","AMPS","Native","Forb","P","R","1"
"6626","M","1",NA,"C","R","Straw","Hybrid","2",2017-06-22,"AS02","T1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","U","1"
"6660","M","1",NA,"C","R","Straw","Hybrid","2",2017-06-22,"AS02","T1","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","R","1"
"6662","M","1",NA,"C","R","Straw","Hybrid","2",2017-06-22,"AS02","T1","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"6670","M","1",NA,"C","R","Straw","Hybrid","2",2017-06-22,"AS02","T1","Grindelia stricta","salt marsh gumplant","GRST","Native","Forb","P","R","1"
"6674","M","1",NA,"C","R","Straw","Hybrid","2",2017-06-22,"AS02","T1","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"6682","M","1",NA,"C","R","Straw","Hybrid","2",2017-06-22,"AS02","T1","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"6694","M","1",NA,"C","R","Straw","Hybrid","2",2017-06-22,"AS02","T1","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","C","1"
"6731","L","2",NA,"C","R","Straw","Hybrid","2",2017-06-22,"AS02","T2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","1"
"6767","L","2",NA,"C","R","Straw","Hybrid","2",2017-06-22,"AS02","T2","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"6779","L","2",NA,"C","R","Straw","Hybrid","2",2017-06-22,"AS02","T2","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"6787","L","2",NA,"C","R","Straw","Hybrid","2",2017-06-22,"AS02","T2","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"6799","L","2",NA,"C","R","Straw","Hybrid","2",2017-06-22,"AS02","T2","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","C","1"
"6836","L","1",NA,"C","R","Straw","Hybrid","2",2017-06-22,"AS02","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","1"
"6837","L","1",NA,"C","R","Straw","Hybrid","2",2017-06-22,"AS02","U","Atriplex semibaccata","Australian saltbush","ATSE","Weed","Forb","P","R","1"
"6870","L","1",NA,"C","R","Straw","Hybrid","2",2017-06-22,"AS02","U","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","R","1"
"6872","L","1",NA,"C","R","Straw","Hybrid","2",2017-06-22,"AS02","U","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"6884","L","1",NA,"C","R","Straw","Hybrid","2",2017-06-22,"AS02","U","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"6934","M","3",NA,"C","R","Rake","Organic","3",2017-06-22,"AS03","T1","Ambrosia psilostachya","western ragweed","AMPS","Native","Forb","P","R","1"
"6941","M","3",NA,"C","R","Rake","Organic","3",2017-06-22,"AS03","T1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","2"
"6975","M","3",NA,"C","R","Rake","Organic","3",2017-06-22,"AS03","T1","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","U","1"
"6977","M","3",NA,"C","R","Rake","Organic","3",2017-06-22,"AS03","T1","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"6989","M","3",NA,"C","R","Rake","Organic","3",2017-06-22,"AS03","T1","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"6997","M","3",NA,"C","R","Rake","Organic","3",2017-06-22,"AS03","T1","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"7009","M","3",NA,"C","R","Rake","Organic","3",2017-06-22,"AS03","T1","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","R","1"
"7035","M","3",NA,"C","R","Rake","Organic","3",2017-06-22,"AS03","T1","Tetragonia tetragonioides","New Zealand spinach","TETE","Weed","Forb","A","U","1"
"7039","M","2",NA,"C","R","Rake","Organic","3",2017-06-22,"AS03","T2","Ambrosia psilostachya","western ragweed","AMPS","Native","Forb","P","R","1"
"7046","M","2",NA,"C","R","Rake","Organic","3",2017-06-22,"AS03","T2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","2"
"7076","M","2",NA,"C","R","Rake","Organic","3",2017-06-22,"AS03","T2","Eriogonum fasciculatum","California buckwheat","ERFA","Native","Forb","P","R","1"
"7080","M","2",NA,"C","R","Rake","Organic","3",2017-06-22,"AS03","T2","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","R","1"
"7082","M","2",NA,"C","R","Rake","Organic","3",2017-06-22,"AS03","T2","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"7094","M","2",NA,"C","R","Rake","Organic","3",2017-06-22,"AS03","T2","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"7102","M","2",NA,"C","R","Rake","Organic","3",2017-06-22,"AS03","T2","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"7114","M","2",NA,"C","R","Rake","Organic","3",2017-06-22,"AS03","T2","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","U","1"
"7140","M","2",NA,"C","R","Rake","Organic","3",2017-06-22,"AS03","T2","Tetragonia tetragonioides","New Zealand spinach","TETE","Weed","Forb","A","R","1"
"7151","L","1",NA,"C","R","Rake","Organic","3",2017-06-22,"AS03","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","1"
"7185","L","1",NA,"C","R","Rake","Organic","3",2017-06-22,"AS03","U","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","U","1"
"7187","L","1",NA,"C","R","Rake","Organic","3",2017-06-22,"AS03","U","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","U","1"
"7195","L","1",NA,"C","R","Rake","Organic","3",2017-06-22,"AS03","U","Grindelia stricta","salt marsh gumplant","GRST","Native","Forb","P","R","1"
"7199","L","1",NA,"C","R","Rake","Organic","3",2017-06-22,"AS03","U","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"7207","L","1",NA,"C","R","Rake","Organic","3",2017-06-22,"AS03","U","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
